44242400176.21239,2,1,7,6,1097,811,3268,3268,377,2,3,4,4,4,4,4,0,1,2,3,0,2,0,2,0,2,3,2,2,0,2,3,4
93694650010.8288,2,1,7,7,2177,785,2332,977,377,1,2,4,4,4,4,4,1,2,3,1,2,3,1,2,3,0,2,3,3,1,2,4,2
97714575822.0288,3,1,7,7,3017,3268,2932,811,257,2,4,2,4,4,4,4,0,1,2,3,1,2,3,1,2,1,2,4,1,0,1,2,0
95303126207.36346,2,1,7,3,3017,2897,41,3017,91,2,4,2,4,4,4,4,0,2,3,4,3,3,3,3,3,2,2,2,2,0,1,3,1
160923425282.45758,1,1,7,7,2897,811,2212,811,91,0,2,4,4,4,4,4,1,3,4,1,3,1,3,1,3,2,2,2,2,0,2,0,0
216323387904.3993,2,1,7,3,1097,811,2524,2297,91,2,4,2,4,4,4,4,0,1,3,4,0,1,3,0,1,2,3,2,2,0,2,0,0
103074817690.8288,1,1,7,7,3244,2897,1097,977,91,2,4,2,4,4,4,4,2,3,2,3,2,3,2,3,3,0,3,3,3,0,1,2,2
95303126207.36346,2,1,7,3,3017,2897,41,3017,91,2,4,2,4,4,4,4,0,2,3,4,3,3,3,3,3,2,2,2,2,0,1,3,1
93174884192.42477,2,1,7,6,2332,91,1132,811,91,1,2,4,4,4,4,4,0,2,3,2,3,2,3,3,3,0,2,2,2,0,2,0,0
79121396583.6288,1,1,7,7,2897,811,2212,811,91,2,4,2,4,4,4,4,1,3,4,1,3,1,3,1,3,2,2,2,2,0,2,0,0
208830267496.8576,1,1,7,7,811,3052,2212,2897,91,2,3,4,4,4,4,4,0,1,2,0,1,2,0,1,1,1,2,2,2,1,2,3,3
91833514553.05995,2,1,7,2,977,811,1012,2177,91,3,4,3,4,4,4,4,0,1,2,1,2,1,1,1,1,0,2,3,2,2,2,2,2
99054891879.62878,1,1,7,7,811,3244,2332,91,377,3,4,3,4,4,4,4,0,2,3,2,3,3,3,3,3,1,2,2,2,1,2,4,2
84313971150.0288,1,1,7,7,2297,1097,977,3244,377,2,4,2,4,4,4,4,0,1,2,0,1,2,0,2,2,0,2,3,3,1,3,4,1
87814642323.62477,2,1,7,6,811,65,2548,3244,91,1,4,1,4,4,4,4,0,1,2,0,1,2,1,2,2,2,3,2,2,1,2,3,3
87664250113.22879,1,1,7,7,1132,2897,2177,811,91,2,4,2,4,4,4,4,0,2,3,4,0,2,3,3,3,0,2,2,2,0,1,1,1